[2025-10-08 15:14:25.040] [info] Starting main process...
[2025-10-08 15:14:26.980] [info] Camera initialized successfully.
[2025-10-08 15:14:27.216] [info] YOLO model initialized successfully.
[2025-10-08 15:14:27.430] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:27.540] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:27.640] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:27.746] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:27.855] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:27.956] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.056] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.158] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.402] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.503] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.604] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.713] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.822] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:28.931] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:29.031] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:29.132] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:29.240] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.121] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.222] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.322] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.423] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.524] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.626] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.727] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.835] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:30.944] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:31.252] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:31.353] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:31.453] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:31.562] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:31.796] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:31.898] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:31.998] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:32.098] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:32.199] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:32.307] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:32.408] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:32.508] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:32.609] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:33.660] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:33.763] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:33.863] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:33.963] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:34.064] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:34.165] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:34.270] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:34.371] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:34.474] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:36.311] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:36.414] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:36.516] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:36.617] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:36.718] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:36.819] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:36.919] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:37.025] [warning] Failed to get image buffer, retrying...
[2025-10-08 15:14:37.126] [warning] Failed to get image buffer, retrying...
